Num_Cta,Cli_codigo,TipoCuenta,Sucursal,FechaApertura,Saldo
191-10001-90,C0001,CTA AHORROS SOLES,Cajamarca,19/05/2015,4073.14
191-10002-66,C0002,CTA AHORROS SOLES,Lince,07/04/2011,13890.36
191-10003-46,C0003,CTA CORRIENTE,San Isidro,29/10/2018,13286.21
191-10004-66,C0004,CTA AHORROS DOLARES,La Molina,14/01/2015,10850.54
191-10005-71,C0005,CTA AHORROS SOLES,San Isidro,30/12/2017,2836.98
191-10006-45,C0006,CTA AHORROS SOLES,Callao,15/05/2021,12685.75
191-10007-21,C0007,CTA AHORROS SOLES,Callao,17/11/2018,3264.19
191-10008-33,C0008,CTA AHORROS SOLES,San Isidro,24/08/2013,12942.15
191-10009-48,C0009,CTA CORRIENTE,Surco,30/03/2018,9956.26
191-10010-56,C0010,CTA AHORROS DOLARES,Callao,07/09/2016,12327.86
191-10011-43,C0011,CTA AHORROS DOLARES,Lince,25/01/2010,5909.56
191-10012-57,C0012,CTA CORRIENTE,Miraflores,30/11/2024,11395.68
191-10013-29,C0013,CTA AHORROS SOLES,Miraflores,02/04/2023,902.74
191-10014-86,C0014,CTA AHORROS SOLES,Callao,08/04/2016,7400.14
191-10015-12,C0015,CTA AHORROS SOLES,Callao,26/05/2016,13367.94
191-10016-39,C0016,CTA AHORROS DOLARES,San Isidro,17/06/2021,14911.19
191-10017-83,C0017,CTA AHORROS SOLES,La Molina,02/06/2017,8719.15
191-10018-91,C0018,CTA AHORROS SOLES,Lince,09/05/2021,10405.04
191-10019-18,C0019,CTA AHORROS SOLES,Miraflores,17/02/2011,2111.33
191-10020-90,C0020,CTA AHORROS SOLES,Cajamarca,27/10/2021,5660.18
191-10021-23,C0021,CTA CORRIENTE,La Molina,22/01/2011,5179.9
191-10022-50,C0022,CTA AHORROS SOLES,La Molina,18/03/2012,8560.28
191-10023-84,C0023,CTA AHORROS DOLARES,Callao,15/04/2010,4819.4
191-10024-39,C0024,CTA AHORROS SOLES,Callao,20/06/2013,9816.65
191-10025-72,C0025,CTA AHORROS SOLES,Callao,07/07/2014,4105.08
191-10026-59,C0026,CTA CORRIENTE,Surco,04/12/2022,1565.85
191-10027-74,C0027,CTA AHORROS DOLARES,La Molina,17/05/2017,7421.44
191-10028-21,C0028,CTA CORRIENTE,Callao,10/01/2024,4947.74
191-10029-40,C0029,CTA AHORROS DOLARES,Surco,16/04/2016,12356.53
191-10030-77,C0030,CTA CORRIENTE,La Molina,31/08/2023,3595.85
191-10031-15,C0031,CTA AHORROS SOLES,Miraflores,18/09/2016,8649.18
191-10032-34,C0032,CTA CORRIENTE,Miraflores,25/08/2015,8841.77
191-10033-63,C0033,CTA AHORROS SOLES,Surco,02/07/2024,1838.52
191-10034-83,C0034,CTA AHORROS SOLES,Surco,05/01/2023,5143.72
191-10035-23,C0035,CTA AHORROS SOLES,San Isidro,05/03/2017,10526.38
191-10036-51,C0036,CTA CORRIENTE,Surco,27/08/2021,4338.11
191-10037-32,C0037,CTA CORRIENTE,Miraflores,13/02/2014,8205.5
